´úÂë,¼Û¸ñ
002341,22.44
002342,6.47
002343,34.31
002344,7.93
002345,10.75
002346,19.69
002347,6.07
002348,5.05
002349,8.24
002350,9.53
002351,8.25
002352,50.53
002353,16.03
002354,18.07
002355,10.22
002356,31.73
002357,10.13
002358,14.86
002359,23.1
002360,7.0
002361,5.43
002362,24.5
002363,8.6
002364,10.16
002365,33.61
002366,26.45
002367,9.06
002368,23.35
002369,8.8
002370,13.98
002371,34.33
002372,21.2
002373,14.03
002374,5.06
002375,7.83
002376,13.18
002377,8.99
002378,9.61
002379,5.72
002380,17.16
002381,7.77
002382,16.26
002383,18.33
002384,25.99
002385,6.85
002386,8.44
002387,16.74
002388,8.2
002389,18.47
002390,8.24
002391,14.7
002392,5.04
002393,31.69
002394,12.37
002395,12.11
002396,19.92
002397,6.06
002398,15.14
002399,15.53
002400,5.83
002401,12.08
002402,9.24
002403,11.8
002404,6.68
002405,25.83
002406,7.31
002407,19.88
002408,13.49
002409,25.15
002410,19.18
002411,26.6
002412,16.47
002413,9.56
002414,15.78
002415,41.08
002416,9.61
002417,11.76
002418,9.34
002419,17.98
002420,5.12
002421,5.51
002422,25.1
002423,14.39
002424,15.18
002425,7.97
002426,5.81
002427,27.99
002428,12.82
002429,3.36
002430,15.48
002431,8.5
002432,9.25
002433,8.59
002434,9.75
002435,17.92
002436,5.59
002437,6.75
002438,7.59
002439,21.79
002440,20.29
002441,9.89
002442,12.29
002443,8.95
002444,13.03
002445,14.19
002446,9.18
002447,5.91
002448,9.13
002449,16.16
002450,20.81
002451,29.24
002452,6.23
002453,7.79
002454,11.7
002455,9.59
002456,17.87
002457,12.6
002458,23.25
002459,11.68
002460,57.0
002461,11.11
002462,26.25
002463,4.77
002464,31.09
002465,10.09
002466,50.21
002467,7.71
002468,24.3
002469,6.61
002470,9.15
002471,4.1
002472,9.18
002473,9.29
002474,9.04
002475,22.0
002476,5.68
002477,4.55
002478,4.91
002479,10.37
002480,7.12
002481,4.84
002482,7.95
002483,5.33
002484,9.14
002485,24.63
002486,5.28
002487,4.93
002488,12.52
002489,5.38
002490,4.72
002491,12.85
002492,7.79
002493,14.63
002494,9.51
002495,3.89
002496,5.62
002497,11.18
002498,3.26
002499,19.42
002500,9.83
002501,10.18
002502,8.29
002503,5.47
002504,4.53
002505,2.68
002506,4.17
002507,16.77
002508,54.08
002509,9.42
002510,6.12
002511,14.5
002512,18.07
002513,10.72
002514,7.86
002515,8.32
002516,5.97
002517,21.35
002518,17.03
002519,6.42
002520,10.32
002521,9.59
002522,10.13
002523,5.16
002524,6.35
002526,6.07
002527,9.88
002528,5.08
002529,15.5
002530,23.5
002531,7.16
002532,6.5
002533,6.79
002534,10.48
002535,4.78
002536,14.49
002537,9.87
002538,8.51
002539,6.21
002540,7.39
002541,14.08
002542,8.03
002543,22.81
002544,15.1
002545,8.67
002546,5.08
002547,7.89
002548,10.42
002549,6.43
002550,5.54
002551,9.13
002552,10.0
002553,8.71
002554,4.83
002555,20.95
002556,7.94
002557,16.26
002558,34.33
002559,9.08
002560,7.47
002561,12.09
002562,16.32
002563,9.34
002564,8.12
002565,6.18
002566,8.7
002567,7.89
002568,13.79
002569,23.4
002570,5.94
002571,6.9
002572,38.84
002573,20.56
002574,7.7
002575,9.1
002576,15.43
002577,16.5
002578,4.57
002579,10.2
002580,8.37
002581,18.4
002582,11.17
002583,14.24
002584,17.63
002585,6.68
002586,8.91
002587,6.75
002588,7.05
002589,13.42
002590,12.64
002591,10.12
002592,22.29
002593,4.32
002594,65.5
002595,18.35
002596,12.15
002597,28.15
002598,9.8
002599,11.91
002600,7.3
002601,17.15
002602,34.49
002603,15.94
002604,8.74
002605,11.77
002606,11.17
002607,4.06
002608,10.06
002609,14.36
002610,2.51
002611,13.65
002612,12.18
002613,3.55
002614,20.2
002615,9.09
002616,9.15
002617,16.7
002618,11.05
002619,6.37
002620,9.75
002621,16.5
002622,15.0
002623,22.2
002624,32.3
002625,26.0
002626,18.99
002627,18.48
002628,7.34
002629,5.94
002630,11.19
002631,10.7
002632,8.18
002633,11.35
002634,7.23
002635,21.87
002636,15.04
002637,10.36
002638,4.82
002639,8.2
002640,18.11
002641,4.48
002642,12.11
002643,11.14
002644,10.11
002645,21.87
002646,15.68
002647,32.43
002648,18.69
002649,11.64
002650,7.13
002651,7.38
002652,7.38
002653,11.05
002654,6.65
002655,9.95
002656,24.59
002657,25.48
002658,12.49
002659,13.56
002660,9.97
002661,14.15
002662,6.83
002663,5.56
002664,25.83
002665,6.4
002666,6.22
002667,16.22
002668,21.34
002669,24.9
002670,19.51
002671,6.74
002672,15.83
002673,13.16
002674,10.33
002675,10.78
002676,7.58
002677,16.82
002678,11.06
002679,21.26
002680,13.82
002681,10.15
002682,11.09
002683,7.68
002684,17.14
002685,9.9
002686,12.18
002687,6.83
002688,6.78
002689,5.4
002690,17.9
002691,24.81
002692,10.15
002693,6.07
002694,21.81
002695,16.96
002696,17.59
002697,6.27
002698,10.58
002699,17.47
002700,9.99
002701,6.07
002702,5.15
002703,8.24
002705,11.95
002706,11.95
002707,12.23
002708,6.36
002709,44.82
002711,10.08
002712,21.36
002713,28.5
002714,61.28
002715,27.13
002716,20.63
002717,24.45
002718,45.8
002719,28.23
002721,17.58
002722,25.02
002723,17.88
002724,9.35
002725,13.91
002726,10.69
002727,21.37
002728,18.62
002729,61.85
002730,11.88
002731,17.89
002732,28.6
002733,16.62
002734,24.64
002735,32.5
002736,13.44
002737,32.96
002738,28.66
002739,52.04
002740,8.96
002741,15.72
002742,22.99
002743,10.6
002745,51.15
002746,21.92
002747,11.24
002748,14.87
002749,65.79
002750,9.61
002751,38.9
002752,10.59
002753,19.49
002755,27.09
002756,23.13
002757,38.5
002758,10.13
002759,16.19
002760,49.0
002761,35.48
002762,17.48
002763,13.8
002765,9.03
002766,14.11
002767,20.3
002768,25.88
002769,13.87
002770,4.55
002771,19.4
002772,10.92
002773,55.49
002774,10.01
002775,19.77
002776,19.36
002777,31.9
002778,23.87
002779,20.55
002780,23.6
002781,21.4
002782,13.69
002783,18.84
002785,13.09
002786,9.66
002787,11.3
002788,29.57
002789,39.19
002790,26.82
002791,19.11
002792,32.63
002793,15.89
002795,16.47
002796,28.77
002797,10.79
002798,48.89
002799,20.96
002800,29.4
002801,34.06
002802,29.37
002803,44.2
002805,27.5
002806,19.62
002807,9.07
002808,11.9
002809,33.41
002810,23.6
002811,18.95
002812,90.68
002813,31.68
002815,28.9
002816,19.6
002817,31.4
002818,31.35
002819,25.86
002820,24.97
002821,56.2
002822,8.1
002823,15.55
002824,17.58
002825,23.95
002826,17.52
002827,18.9
002828,23.51
002829,26.3
002830,20.99
002831,58.47
002832,58.85
002833,64.55
002835,11.15
002836,20.42
002837,19.94
002838,42.95
002839,11.4
002840,31.25
002841,68.91
002842,42.81
002843,19.47
002845,25.25
002846,17.88
002847,27.65
002848,16.69
002849,27.85
002850,57.75
002851,36.5
002852,33.18
002853,36.95
002855,12.63
