ДњТы,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000930,20000630,20000331,19991231,19990630,19990331,19981231,19980930,19980630,19980331,19971231,19970630,19970331,19961231,19960930,19960630,19960331,19951231,19950930,19950630,19941231,19940930,19940630,19940331,19931231,19930930,19930630,19930331,19921231,19920630,19911231,19910630,19901231,19900630,19891231
000011,576166646.75,364355770.43,301597814.36,354857241.74,-7202485.59,-5248704.63,577026.01,156819966.71,46455800.37,31162831.74,356364.92,417498679.91,323125436.68,112074537.49,27725441.51,300840563.81,356260816.78,353600992.81,236360598.97,375422129.64,174644758.87,98322285.31,5460610.06,257461077.54,306477330.11,299688854.39,284605173.95,174998534.79,135254986.97,126752423.52,2839794.18,96933951.02,160281697.11,106297227.83,18477765.64,9829397.29,-12794987.83,-3120802.16,-5031278.25,-27377663.77,-29322395.67,-15471109.29,-5965494.81,-46054221.12,-37634861.65,-23391427.55,-8907781.68,78419748.81,30103200.00,10694780.23,129413.96,90449977.35,26459137.14,8463406.95,118076.20,77001831.44,12688922.15,7728666.75,71664.41,34622176.84,8629398.91,6934540.39,80612.79,86206309.75,22110000.00,11751876.69,-14170000.00,5392916.15,,10588208.07,,42954267.75,6069040.45,,12840735.40,,3741980.56,,-515643916.26,4973708.53,,1368238.24,,14730355.24,,214986956.06,,66865811.44,257714943.16,,188800385.56,,285638985.98,,,,160345948.88,,,,,,
000012,711011371.00,392992163.00,170130942.00,797721576.00,714899313.00,466883254.00,204835467.00,624753110.00,394069370.00,205767344.00,82201310.00,873653030.00,737288641.00,589210439.00,123051443.00,1535929739.00,627652415.00,353719746.00,107660977.00,274746219.00,402770661.00,246093185.00,121231046.00,1178229197.00,1110086740.00,837643342.00,415307904.00,1455209218.00,1041548328.00,635951595.00,299246474.00,831944393.00,577602312.00,261159985.00,61805392.00,420079848.00,545133926.00,409853633.00,197362779.00,431484803.00,294275069.00,149311395.00,54791213.00,332111553.00,256644734.00,152157186.00,49093799.00,316411545.00,246900752.00,149963973.00,53775365.00,339016740.00,278658049.00,187134332.00,84005801.00,203910236.00,158123472.00,91895076.00,37051191.00,163311160.00,128598013.00,82130130.00,30438697.00,151297232.00,,79220771.00,,184998326.00,,80233860.47,,-169700553.76,11882682.51,,15743844.62,,20339355.05,,103166487.79,52090546.64,,153037565.36,,70158510.49,,134672207.11,,81672853.68,161084398.48,,83890993.00,,141642799.49,,,,60698000.00,,25496900.00,,,,
000014,4446834.08,3946992.92,-3359942.78,28596797.03,-17536217.16,-10449032.34,-4849099.43,52963507.19,-989860.51,14596368.64,336402.52,60783578.72,13315366.76,25009099.48,28844556.08,28754423.82,-10609124.09,-7011188.47,-1664465.17,27962237.31,-17511285.81,-10748211.24,-2521883.52,54299409.14,15634089.22,3874764.87,-10602598.84,70599580.42,48440297.41,65369602.15,68462048.06,80226797.61,69482319.04,31597844.68,-3519589.53,43574780.21,-45190424.05,-26653435.86,-12328910.99,1868856.11,-9720403.98,-3254176.21,-3402781.35,31022151.21,45844842.69,43081237.51,20442235.65,31539262.82,26950631.03,23640649.66,8240377.06,27734135.30,11999140.96,6376962.99,1974441.17,29852565.09,13424760.35,6714469.94,956814.58,35910540.68,5754741.31,9193651.42,3076089.11,37059973.83,7180000.00,5556521.66,,-33425582.79,,-16527378.44,,-75275511.02,-90998977.25,,-70562326.63,,-20274035.89,,1468205.16,893376.32,,-51288563.88,,3681138.36,,14009405.53,,13410200.00,28022404.82,,27173900.00,,40267176.17,,20852000.00,,15886100.00,,5422200.00,,,,
000016,128845749.12,30871267.86,26245353.83,95673028.03,-44330957.31,12834736.76,8429549.66,-1256819314.51,-852209547.80,-296953507.39,7752441.61,52623527.86,47579255.05,45360110.62,9522762.31,45163004.10,41573653.74,40547673.62,14242614.75,45829234.02,16863079.95,11467291.68,10370754.57,24972838.12,-164220344.52,-195000941.75,-76863006.20,83947861.32,61178474.77,50887520.39,35625229.27,151077290.18,106646848.40,80302015.01,40231160.32,250817154.35,187938829.77,80555227.21,47065384.53,209198469.00,55670488.03,42473932.57,26258875.51,102638435.58,48372489.40,33367874.20,25291484.86,71898947.59,34853763.05,23348405.50,20541013.86,140726699.45,56847255.81,42481310.47,24845526.77,101071037.71,54970699.03,30264392.86,20892621.21,35590430.74,29815227.52,24199186.01,16002052.38,-694764270.34,,-190959457.29,,214392305.38,,122525178.31,,497527792.65,206038364.71,,429165782.81,,170167022.36,,348616230.02,164601088.99,,346041727.16,,142674971.87,,265060531.90,,140569117.84,226708820.69,,121073799.23,,208941288.44,,86661185.75,,90594091.56,,68740133.85,,,,
000017,-1363511.88,-1691378.44,212322.25,2603637.47,2080568.20,448356.29,146355.64,-138355.58,538106.97,416172.86,272334.51,4885678.56,3388112.05,1874649.46,354354.82,1575223894.89,-26963002.65,-29283608.20,-26646803.51,-52443234.29,-48175316.71,-33344485.07,-15778280.10,39720901.46,21882997.47,26213055.39,-12150753.18,64477414.44,-61395650.44,-51719360.41,-28845174.18,-105757549.50,-74048909.49,-56332908.69,-29651782.19,-44893006.40,19315995.01,-4615635.71,3760110.01,63036241.24,3209046.17,18689260.58,34997451.04,-9648015.34,-8415213.54,-9086852.53,-1506112.96,3738730.58,27498350.76,-539665.90,-3134083.93,-93608552.12,577182.45,285818.86,97603.85,-32947808.38,-3812635.20,1324879.19,9336594.81,22163655.21,-16771807.46,-29649602.79,-16851884.11,-2257244249.73,-84125200.00,-58277117.95,,-165852661.66,,-64781148.48,,200102834.72,-97640874.10,,-653558196.43,,-61994280.32,,-198624305.49,9383887.63,,30181430.91,,8577228.30,,51251977.30,,72530029.39,137208585.84,,84918137.18,,216180552.89,,,,117916405.04,,76726094.15,,3585361424.00,,
000018,410460805.92,268606450.03,99029586.64,473661862.67,303165970.06,202299416.64,76587282.98,346648651.48,242528351.45,-608576.00,-390827.00,4290905.00,1173093.00,738330.00,-1144673.00,8214810.00,-531410.00,-4123606.00,-2662785.00,-247331.00,-6150254.00,-4187136.00,-233111.00,-17361593.00,-12268678.00,-8232521.00,-4143863.00,4102924.00,6375682.00,5412704.00,-3524663.00,12090678.00,-261603.00,-1265877.00,-1814716.00,-25957333.00,-9522710.00,-4296620.00,-1323573.00,-116356882.00,-60448193.00,-33757307.00,-23974465.00,28992654.00,-21205926.00,-9653031.00,-4078315.86,-37444000.00,-17961746.94,-5826904.57,-3520581.27,886965.00,500646.21,1062052.44,786794.00,1566030.00,4083628.09,3409405.89,-446738.00,1347864.00,1784899.03,1401262.61,-1199291.00,841358.00,,2044227.76,,5063165.00,,3900776.00,,10917300.00,4265283.18,,2762476.00,,2258914.93,,-12055080.00,3775405.00,,1708700.00,,4196750.00,,12756929.43,,6189000.00,37743476.43,,30260000.00,,32135577.62,,,,32870000.00,,9680000.00,,,,
000019,-26388995.62,-17759776.83,-9918007.24,96620658.92,-27559013.30,-15099180.63,-6183061.88,-35256169.10,-8230223.94,5317533.95,-9528087.26,13323820.43,-33871125.62,-23382126.99,-6129624.36,43662208.27,54224164.02,-5934967.21,1109287.20,74529471.28,85637225.01,88867376.42,-3652633.04,6980233.57,31693294.04,4396354.98,-8315588.58,5687644.79,-22247182.84,-18263527.21,-11359265.69,-12905069.92,5340113.86,-2294928.82,-7081035.05,12630244.76,16636301.92,6597233.67,582640.03,43690242.34,17305662.96,14140534.38,720418.84,39059405.42,6476248.77,6590368.05,2606646.31,5539860.36,4262681.94,1815193.46,253061.98,4309189.63,3741294.01,680302.18,226972.98,-44851697.69,-6393781.11,692630.26,164876.60,10799910.24,8118036.68,7461702.71,-14017269.69,10460958.34,,9419607.24,,2817723.44,,8447657.65,,30143180.30,4625477.24,,32903237.76,,4207852.09,,30183986.11,2849720.86,,42962608.00,,11407529.51,,3619429.55,,1050636.24,-6790305.42,,11752668.13,,25368095.12,,,,19238120.28,,16599641.45,,9775348.19,,
000020,348389.45,2146472.00,421173.37,5457710.33,4509368.56,7272956.22,469935.69,-6731513.11,19994553.01,14177311.03,511851.85,7687620.27,990696.00,1455936.93,694997.40,-6517401.44,808082.68,1967980.43,818247.01,3241897.70,6291595.02,6426237.82,4728832.80,10374521.20,9063595.21,9280724.63,3338309.94,9177262.81,16674674.34,17375496.34,12049390.43,4154592.65,10105170.71,4359222.80,2102778.89,7567912.54,-1455057.03,-2503393.28,1523607.05,22065920.97,9907520.61,-2275256.07,118919.63,-19554248.65,1361486.34,570082.98,567797.18,6622306.73,3646108.86,404375.86,-711419.76,-44341967.47,-3699230.99,-1930937.40,115892.54,-7734400.71,567068.83,496007.85,-712255.63,1109909.25,2724047.15,-2745986.23,659618.50,1729925.47,,1617699.41,,2928449.28,,3695002.84,,10013130.69,3217758.42,,-52189598.00,,-21563672.14,,-69270607.00,11066350.00,,37590287.00,,11146949.00,,45977207.00,,23571342.00,45708606.29,,27559893.00,,46714233.00,,22534987.00,,40171132.00,,35978103.00,,,,
000021,469006287.26,307439494.71,116724685.77,214423542.75,303533167.46,217536717.34,151025002.21,180660277.51,140333774.98,138614159.37,51836182.21,175676362.70,137158995.19,-8665378.68,-115673622.22,229931230.46,151671476.07,87496893.66,32532701.41,93561007.08,71165116.07,66160181.82,45662926.90,251508997.33,184526967.81,106886891.87,43243125.88,384257878.66,263146735.15,180076269.28,75471547.80,258619909.73,165925108.21,102401835.62,40342835.74,316479626.07,209822851.22,133120535.72,70579151.67,709204268.29,534283286.89,464748901.41,378093542.13,341185208.41,254828424.38,169753698.58,84486922.12,315346146.77,228523843.70,150392604.55,70017831.09,227654010.49,138989374.79,79850748.23,51911771.38,222779558.23,122975342.48,71467447.46,52237544.80,60729126.65,56762792.40,26652623.58,11819309.02,-16783131.59,,44248590.85,,148176045.69,,59380329.33,,313115473.98,235426526.49,,452333554.89,,180574936.94,,318913510.57,162978508.82,,275371218.12,,166112133.87,,118352727.33,,34132473.39,53404210.24,,25566799.87,,45801943.40,,,,57657546.10,,128500.00,,327600.00,,
000022,440423391.63,276407832.70,138844490.95,532376492.97,427240244.40,266535506.97,121221004.55,527751492.42,417509806.15,241977372.34,102580695.58,417594271.33,366700553.87,235338598.71,106553992.04,502894547.79,446791244.00,295594906.00,130207445.00,467103270.00,366435050.00,222035234.00,113372701.00,505645137.00,387404046.00,258357428.00,127288677.00,596680156.00,480113425.00,308963482.00,131168775.00,418864844.00,322699314.00,200144439.00,93337912.00,642891604.00,499170272.00,330964205.00,165671223.00,663872167.00,515787572.00,305370175.00,142390483.00,613964828.00,496052813.00,321074060.00,150733669.00,583452604.00,519774163.00,355647880.00,174910882.00,535628927.00,389081530.00,233125020.00,96838241.00,313987876.00,229096151.00,132837914.00,58337939.06,183599988.00,135632579.00,77208989.00,40593302.26,86829223.00,,25855915.00,,71737831.00,,39456021.35,,72446699.78,24988885.08,,55411194.93,,20290855.99,,93340126.21,47018978.39,,107302420.79,,56064600.00,,124362363.25,,62312500.00,112479608.37,,56242167.37,,90676446.26,,54360000.00,,,,,,,,
